"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Philippines,"4,076,307",+77,"66,111",3.0,"4,000,971",+134,"9,225",162,"36,231",588,"34,593,073","307,469","112,508,994",Asia,2023-02-28
South Africa,"4,063,573",+336,"102,595",,"3,912,506",,"48,472",192,"66,883","1,689","26,795,090","441,027","60,756,135",Africa,2023-02-28
Romania,"3,340,342",,"67,704",,"3,260,101",,"12,537",115,"175,518","3,558","26,676,248","1,401,701","19,031,335",Europe,2023-02-28
Denmark,"3,175,195",+66,"8,265",10.0,"3,166,012",+90,918,19,"544,168","1,416","129,195,966","22,141,743","5,834,950",Europe,2023-02-28
Hong Kong,"2,883,346",+96,"13,457",6.0,"2,846,874","+2,271","23,015",28,"379,173","1,770","76,127,725","10,011,143","7,604,299",Asia,2023-02-28
Sweden,"2,697,827",,"23,633",,"2,670,577",+140,"3,617",9,"264,002","2,313","19,469,139","1,905,196","10,218,971",Europe,2023-02-28
Serbia,"2,492,563",+859,"17,826",5.0,"2,460,909",+755,"13,828",16,"288,057","2,060","12,396,861","1,432,664","8,653,016",Europe,2023-02-28
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia,2023-02-28
Singapore,"2,222,006",,"1,722",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546",Asia,2023-02-28
New Zealand,"2,216,852",,"3,904",,"2,205,354",,"7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203",Australia/Oceania,2023-02-28
Hungary,"2,194,969",,"48,745",,"2,142,682",,"3,542",6,"228,494","5,074","11,394,556","1,186,160","9,606,259",Europe,2023-02-28
Bangladesh,"2,037,773",,"29,445",,"1,998,448",,"9,880",,"12,138",175,"15,254,399","90,862","167,885,689",Asia,2023-02-28
Slovakia,"1,862,889",+110,"21,021",4.0,"1,840,687",+105,"1,181",20,"341,176","3,850","7,402,963","1,355,806","5,460,193",Europe,2023-02-28
Georgia,"1,825,598",,"16,965",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738",Asia,2023-02-28
